
# ----------------------------------------------------------------------
# control parameters for edpngo4_v1 calculation

# name of kinematics (no blanks)

# ----------------------------------------------------------------------
#\kinematics = ThQ_102.00_3.500
# ----------------------------------------------------------------------

# optional comments inserted into kinematics file for code (not important)

# \ comment1 = 2.0 < Q2 < 8.0

# \ comment2 = 0.0 < pr < 1.5

# ----------------------------------------------------------------------
# calculation control
# ---------------------------------------------------------------------- 


#   ktf: the knock-out nucleon is proton(1), neutron(-1)
#\   ktf  = 1  

#  noff: Off-Shell effects included (1) not included (0)
#\   noff = 1  

#  npv: only pole term in FSI (0), pole+PV (1)
#\   npv  = 1

#  npro: it calculates d\sigma/dE'_e d\Omega_e d\Omega_pf
#\   npro = 1  

#  icon: icon = 0 initialization, 1 - PWIA, 2 -forward rescattering, 3 - charge exchange rescattering
#         12 - PWIA+FSI, 13 - PWIA+CHEX, 123 - PWIA+FSI+CHEX
#\   icon = 12


#  iv2:  - version of parameterization of CHEX amplitude -
#         10 - Gibbs-Loiseau (has only real part), 21 - SAID, 1021 - SAID+GL
#         10021 - SAID+GL (with Im part at p>p0 modelled using SAID's value
#         -21 SAID   - For details look at fpn_chex.f          
#\   iv2 = 10  


#  iv1:  - version of FSI; 1- diagonal FSI using fpn.f, 2- diagonal FSI using f_NN_sd.f
#         which uses SAID parameterization for plab<3.68, 3 - nondiagonal approximation
#         using f_NN_sd.f. At p>1.4 it uses diffractive parametrization like fpn.f
#\  iv1= 3    

#  isd:   - isd = 1 spectator mechanism, isd=2 direct mechanism isd =0 both
#\  isd = 1   

#  iw:    - 1 - Paris 2 - V18 deuteron wave funcion, 3- cd Bonn, 4 - AV18sb
#\  iw = 3    

#  ipp:   - 1 - quasi "pp" wave functio - only S-parital wave, 0, both S and D waves
#\  ipp = 0   

#  ics:  - 1 - SLAC, 2 Kelly, 3 - Bodek, BB Arrington for-factor paremeterizations
#\   ics = 1

#         crs  - cross section in nb/GeV/str^2

#----------------------------------------------------------------------
# kinematic settings
#----------------------------------------------------------------------

# theta_r: angle between recoil and q (degrees)
# phi_r: angle of the recoil plane and the electron scattering plane (degrees) 
# p_miss: missing momentum (GeV/c)
# Q2:  - 4-momemtum transfer squared (GeV/c)**2
# E_I: incident energy (GeV)
# ID: kinematics identification string (no blanks) 


#! theta_r[f,0]/ phi_r[f,1]/ p_miss[f,2]/ Q2[f,3]/ E_i[f,4]/  ID[s,5]/
102.0 0.0 0.0 3.5 10.542  k_34_15_0
102.0 0.0 0.03 3.5 10.542  k_34_15_1
102.0 0.0 0.06 3.5 10.542  k_34_15_2
102.0 0.0 0.09 3.5 10.542  k_34_15_3
102.0 0.0 0.12 3.5 10.542  k_34_15_4
102.0 0.0 0.15 3.5 10.542  k_34_15_5
102.0 0.0 0.18 3.5 10.542  k_34_15_6
102.0 0.0 0.21 3.5 10.542  k_34_15_7
102.0 0.0 0.24 3.5 10.542  k_34_15_8
102.0 0.0 0.27 3.5 10.542  k_34_15_9
102.0 0.0 0.3 3.5 10.542  k_34_15_10
102.0 0.0 0.32999999999999996 3.5 10.542  k_34_15_11
102.0 0.0 0.36 3.5 10.542  k_34_15_12
102.0 0.0 0.39 3.5 10.542  k_34_15_13
102.0 0.0 0.42 3.5 10.542  k_34_15_14
102.0 0.0 0.44999999999999996 3.5 10.542  k_34_15_15
102.0 0.0 0.48 3.5 10.542  k_34_15_16
102.0 0.0 0.51 3.5 10.542  k_34_15_17
102.0 0.0 0.54 3.5 10.542  k_34_15_18
102.0 0.0 0.57 3.5 10.542  k_34_15_19
102.0 0.0 0.6 3.5 10.542  k_34_15_20
102.0 0.0 0.63 3.5 10.542  k_34_15_21
102.0 0.0 0.6599999999999999 3.5 10.542  k_34_15_22
102.0 0.0 0.69 3.5 10.542  k_34_15_23
102.0 0.0 0.72 3.5 10.542  k_34_15_24
102.0 0.0 0.75 3.5 10.542  k_34_15_25
102.0 0.0 0.78 3.5 10.542  k_34_15_26
102.0 0.0 0.8099999999999999 3.5 10.542  k_34_15_27
102.0 0.0 0.84 3.5 10.542  k_34_15_28
102.0 0.0 0.87 3.5 10.542  k_34_15_29
102.0 0.0 0.8999999999999999 3.5 10.542  k_34_15_30
102.0 0.0 0.9299999999999999 3.5 10.542  k_34_15_31
102.0 0.0 0.96 3.5 10.542  k_34_15_32
102.0 0.0 0.99 3.5 10.542  k_34_15_33
102.0 0.0 1.02 3.5 10.542  k_34_15_34
102.0 0.0 1.05 3.5 10.542  k_34_15_35
102.0 0.0 1.08 3.5 10.542  k_34_15_36
102.0 0.0 1.1099999999999999 3.5 10.542  k_34_15_37
102.0 0.0 1.14 3.5 10.542  k_34_15_38
102.0 0.0 1.17 3.5 10.542  k_34_15_39
102.0 0.0 1.2 3.5 10.542  k_34_15_40
102.0 0.0 1.23 3.5 10.542  k_34_15_41
102.0 0.0 1.26 3.5 10.542  k_34_15_42
102.0 0.0 1.29 3.5 10.542  k_34_15_43
102.0 0.0 1.3199999999999998 3.5 10.542  k_34_15_44
102.0 0.0 1.3499999999999999 3.5 10.542  k_34_15_45
102.0 0.0 1.38 3.5 10.542  k_34_15_46
102.0 0.0 1.41 3.5 10.542  k_34_15_47
102.0 0.0 1.44 3.5 10.542  k_34_15_48
102.0 0.0 1.47 3.5 10.542  k_34_15_49
102.0 0.0 1.5 3.5 10.542  k_34_15_50
